driverId,week,hours-logged,miles-logged
29,44,65,2800
50,14,77,3300
37,31,60,1300
86,47,66,1500
88,13,56,1000
43,16,78,1500
12,30,79,0
82,10,66,3300
66,41,65,1300
53,26,70,1500
88,37,54,900
74,43,69,1300
35,26,62,3300
22,3,56,1400
89,13,57,1000
55,17,77,2000
37,43,50,3700
12,11,68,3100
31,4,66,2100
59,50,74,1000
85,45,50,3600
38,28,57,3400
45,38,79,1500
90,18,61,2900
107,45,55,1100
11,31,58,900
105,51,67,400
35,46,67,2500
101,19,58,4000
14,25,60,1000
40,40,71,1300
100,24,66,3600
88,25,52,700
108,50,56,1800
36,35,68,1000
21,52,52,300
95,6,50,3200
99,5,70,600
87,15,66,0
92,14,65,2700
46,39,67,500
59,48,57,2100
49,12,57,800
81,52,50,3000
97,27,78,3100
79,3,65,1100
17,18,73,4000
93,42,79,900
79,22,78,3600
76,21,57,2700
42,36,57,800
48,28,55,1900
99,31,74,2600
10,33,69,1500
46,41,67,1500
77,14,51,2000
67,46,61,100
12,37,53,1700
78,12,67,1000
16,49,68,2100
94,49,60,2900
49,27,62,2700
67,1,79,3200
15,26,79,3600
74,41,64,2300
76,19,55,2300
84,4,73,2900
99,41,69,3500
80,12,71,1700
85,33,79,1300
98,40,56,3200
59,15,53,3000
23,37,74,1600
66,17,60,3000
51,22,67,1400
30,13,53,2000
20,39,73,500
49,28,63,800
91,44,60,700
47,25,70,3100
71,38,55,2000
27,3,55,3900
81,49,80,300
65,11,67,700
47,20,79,2600
95,15,53,1400
72,15,72,1000
28,26,69,2400
103,11,67,1400
94,24,63,3800
47,47,65,3000
100,22,76,1400
48,47,78,1500
107,19,67,800
22,12,63,900
60,19,57,3900
98,1,80,1100
71,50,72,500
109,14,70,400
12,10,67,3900
43,30,51,2900
89,13,72,3000
92,26,73,3400
97,25,69,2200
105,31,55,3200
63,20,68,2600
39,23,74,1300
85,45,79,3600
72,21,67,1200
49,4,65,2700
41,25,61,3500
44,23,52,3200
14,30,72,3400
78,21,57,3300
61,36,65,3200
22,27,76,3800
61,25,68,1000
41,41,77,300
82,49,80,1100
39,44,63,300
97,23,50,1800
74,9,51,2800
98,23,71,3500
101,45,55,3500
11,41,54,2900
57,50,69,3200
99,6,56,1300
62,45,57,100
102,43,75,600
38,40,74,600
105,39,56,0
38,39,65,2200
43,45,63,0
88,8,63,900
82,1,54,100
40,41,61,3000
22,29,80,3200
107,40,57,1900
108,21,61,300
53,33,55,100
68,1,75,1500
46,31,67,400
108,3,68,4000
66,34,69,3900
86,12,60,3600
18,18,73,2300
85,25,66,2900
99,34,56,800
87,4,78,500
67,18,78,2800
72,6,67,3200
89,3,67,2100
14,16,67,1700
104,20,69,2400
109,21,53,3500
90,5,52,1200
24,33,60,1700
38,29,70,2700
25,39,63,2400
29,36,62,3300
16,13,72,1400
87,38,55,2500
37,48,77,3000
101,51,54,1800
98,25,50,1500
26,50,80,3700
57,30,73,1900
11,46,57,1500
10,52,78,4000
55,22,70,2100
29,39,63,1200
72,26,56,1500
104,22,53,3000
55,49,61,2800
70,47,67,3400
103,8,65,3100
60,25,50,1600
75,5,51,200
84,46,58,3100
25,26,65,3800
90,44,60,700
100,47,70,100
40,26,66,2000
27,4,52,100
92,22,62,3100
64,6,57,900
96,49,71,1800
44,25,64,2500
89,49,54,100
65,17,54,500
23,35,64,1300
72,32,66,2600
95,17,76,900
56,41,74,2800
33,49,78,2000
70,35,75,1400
82,45,51,900
91,34,71,300
28,24,75,400
91,10,73,4000
55,16,65,600
103,38,55,100
11,49,71,1700
104,50,80,1400
55,41,70,1700
23,4,50,1700
74,36,74,1600
29,12,53,2400
22,45,54,900
35,45,74,2100
47,22,52,3900
88,5,63,3300
80,39,56,200
50,43,54,2000
97,38,56,0
95,31,70,0
70,41,64,400
20,33,71,1300
28,48,74,3600
72,44,65,700
48,39,60,600
100,27,69,2200
80,10,60,300
94,42,65,600
71,19,52,1900
20,46,72,3700
19,19,70,3000
25,22,63,400
77,36,67,300
84,49,56,2800
59,25,67,3500
40,42,72,3700
15,21,69,2800
98,52,72,1500
38,29,72,3100
79,29,52,2600
56,24,70,600
62,20,79,1000
102,39,75,3900
89,46,77,1500
39,4,71,2600
67,49,63,100
101,38,80,3500
51,4,52,1300
69,29,52,1100
53,34,50,2700
85,11,76,2700
63,39,74,2700
49,20,79,2100
89,33,71,1900
48,51,69,2200
71,44,54,1900
61,24,71,0
35,41,57,1500
14,28,52,2300
68,32,50,2500
29,32,59,800
39,50,76,800
83,35,78,300
50,1,50,2200
28,29,74,2100
58,35,64,2100
25,11,61,1200
107,22,58,2000
43,14,58,500
105,45,75,3200
76,39,58,3900
89,45,78,1700
67,41,56,3500
32,20,70,600
43,27,66,1500
68,32,60,500
45,33,72,1300
25,25,72,300
44,43,60,3800
101,37,58,3100
94,44,68,2800
105,39,76,1000
14,42,66,3400
105,44,71,2200
50,27,61,600
49,49,56,200
92,31,67,2600
69,45,63,100
87,5,53,900
74,40,79,500
12,30,72,3400
68,7,51,1300
42,22,53,3800
62,35,67,3400
95,24,79,3700
107,29,66,2400
66,7,53,300
55,40,67,2000
83,18,60,3200
28,10,69,2700
104,2,76,1200
91,14,68,3200
80,43,71,2700
87,7,63,2200
66,48,73,1800
76,37,51,2200
99,23,63,900
86,41,53,2300
92,35,69,1400
88,5,71,1600
42,32,62,3500
28,47,56,2700
59,51,62,3800
90,4,78,2300
100,15,66,3600
98,19,60,4000
28,18,68,3100
77,26,66,900
105,49,51,1900
26,21,79,2500
64,46,58,1400
46,25,64,3100
39,46,79,1200
93,37,66,2100
42,37,66,2600
37,31,62,500
14,44,73,800
107,45,50,1700
43,34,57,2500
27,28,50,600
103,35,54,1600
68,10,66,3900
102,23,55,2000
96,41,65,3300
68,46,79,2300
28,27,71,2100
109,32,73,2200
72,16,55,500
17,16,80,1300
76,32,55,2900
28,33,65,2500
59,27,52,2400
78,50,57,100
86,39,65,2400
98,3,77,400
40,38,59,3700
88,44,69,3900
87,43,63,3500
83,39,51,3300
108,52,54,1200
74,40,66,700
89,33,60,4000
84,26,77,900
89,25,50,2200
76,15,67,1800
106,15,52,3900
87,29,65,0
109,9,76,2900
51,47,56,1000
17,8,67,1300
81,26,70,100
40,12,50,800
60,35,55,100
46,27,74,2000
109,20,55,300
19,43,66,2100
106,18,61,3000
98,7,76,300
80,45,53,3200
93,34,74,200
101,4,62,2300
74,45,69,1600
85,26,79,600
57,42,53,700
42,26,73,4000
50,48,55,1800
17,15,51,100
29,34,54,2800
21,45,66,3400
93,6,60,2500
41,52,74,1200
99,1,71,2100
74,36,69,3800
15,14,72,3400
43,40,74,300
58,5,80,1400
106,10,63,4000
51,40,76,2600
22,22,59,1600
74,49,69,2500
24,46,51,100
40,43,50,2000
83,36,80,100
75,21,77,1900
79,15,64,400
99,1,74,1000
81,7,71,3900
52,14,63,2000
46,50,58,600
81,17,80,2300
75,23,55,1000
73,29,51,2300
83,45,64,500
11,16,53,2200
73,21,74,2800
106,26,51,300
31,22,53,3900
98,49,50,1500
14,41,72,3100
20,41,55,3000
80,16,77,700
64,3,65,3700
87,45,57,500
96,12,53,2000
21,21,74,700
109,6,54,2300
41,8,72,400
99,52,69,200
21,6,52,3300
103,9,79,1000
76,45,77,100
104,31,73,3200
35,2,70,3900
80,9,79,1400
18,23,63,2100
68,21,59,300
46,20,55,1400
59,26,61,1700
88,6,78,1000
79,24,79,3000
105,11,72,0
97,51,59,1700
108,33,69,2200
106,49,59,3300
35,35,66,3000
102,37,62,800
41,7,50,3700
27,13,68,100
77,33,74,500
70,11,51,2900
90,1,61,3800
61,48,50,1400
94,40,76,3400
41,38,76,3600
53,34,75,300
62,10,66,1000
14,27,70,2100
